dise dist|dise block|dise_cluster|klp dist|klp block|klp_cluster|klpid|check
bangalore u south|south2|k.p.agrahara|bangalore u south|south2|k.p.agrahara|8920|1
bangalore u south|south2|urdu chamarajpete|bangalore u south|south2|urdu chamarajpete|9780|1
bangalore u south|south2|urdu gangondanhalli|bangalore u south|south2|urdu gangondanhalli|9170|1
bangalore u south|south2|urdu padarayanpura|bangalore u south|south2|urdu padarayanpura|9781|1
bangalore u south|south3|arakere|bangalore u south|south3|arakere|9782|1
bangalore u south|south3|begur|bangalore u south|south3|begur|8893|1
bangalore u south|south3|dommaluru|bangalore u south|south3|dommaluru|8990|1
bangalore u south|south3|gottigere|bangalore u south|south3|gottigere|8921|1
bangalore u south|south3|gurappanapalya|bangalore u south|south3|gurappanapalya|9510|1
bangalore u south|south3|hongasandra|bangalore u south|south3|hongasandra|9162|1
bangalore u south|south3|konana kunte|bangalore u south|south3|konana kunte|8929|1
bangalore u south|south3|lalbagh siddapura|bangalore u south|south3|lalbagh siddapura|8989|1
bangalore u south|south3|madivala|bangalore u south|south3|madivala|8937|1
bangalore u south|south3|singasandra|bangalore u south|south3|singasandra|9163|1
bangalore u south|south3|urdu1|bangalore u south|south3|urdu1|9537|1
bangalore u south|south3|urdu2|bangalore u south|south3|urdu2|9538|1
bangalore u south|south3|wilson garden|bangalore u south|south3|wilson garden|9509|1
bangalore u south|south3|yadiyur|bangalore u south|south3|yadiyur|8988|1
bangalore u south|south3|yellukunte|bangalore u south|south3|yellukunte|8944|1
bangalore u south|south4|bidarahalli|bangalore u south|south4|bidarahalli|9164|1
bangalore u south|south4|channasandra|bangalore u south|south4|channasandra|8897|1
bangalore u south|south4|dodda kannahalli|bangalore u south|south4|dodda kannahalli|8907|1
bangalore u south|south4|hoodi|bangalore u south|south4|hoodi|8916|1
bangalore u south|south4|immadihalli|bangalore u south|south4|immadihalli|9010|1
bangalore u south|south4|jeevan bima nagar|bangalore u south|south4|jeevan bima nagar|8925|1
bangalore u south|south4|jodihuskar|bangalore u south|south4|jodihuskar|9011|1
bangalore u south|south4|kodihalli|bangalore u south|south4|kodihalli|9620|1
bangalore u south|south4|k r pura|bangalore u south|south4|k r pura|8933|1
bangalore u south|south4|kyalasana halli|bangalore u south|south4|kyalasana halli|8940|1
bangalore u south|south4|marath halli|bangalore u south|south4|marath halli|8947|1
