dise dist|dise block|dise_cluster|klp dist|klp block|klp_cluster|check
belgaum|belgaum city|fulbag galli ( mhps.7 )|belgaum|belgaum city|fulbag galli ( mhps.7 )|668|1.0
belgaum|belgaum city|mahantesh nagar (khps.24)|belgaum|belgaum city|mahantesh nagar (khps.24)|666|1.0
belgaum|belgaum city|tilakwadi ( mhps.9 )|belgaum|belgaum city|tilakwadi ( mhps.9 )|669|1.0
belgaum|belgaum city|vadagaon ( khps.14 )|belgaum|belgaum city|vadagaon ( khps.14 )|667|1.0
belgaum|belgaum rural.|aralikatti|belgaum|belgaum rural.|aralikatti|670|1.0
belgaum|belgaum rural.|belgundi|belgaum|belgaum rural.|belgundi|671|1.0
belgaum|belgaum rural.|halga|belgaum|belgaum rural.|halga|680|1.0
belgaum|belgaum rural.|hindalga|belgaum|belgaum rural.|hindalga|673|1.0
belgaum|belgaum rural.|hudli|belgaum|belgaum rural.|hudli|672|1.0
belgaum|belgaum rural.|kadoli|belgaum|belgaum rural.|kadoli|674|1.0
belgaum|belgaum rural.|kakti|belgaum|belgaum rural.|kakti|682|1.0
belgaum|belgaum rural.|kangrali kh|belgaum|belgaum rural.|kangrali kh|681|1.0
belgaum|belgaum rural.|marihal|belgaum|belgaum rural.|marihal|685|1.0
belgaum|belgaum rural.|matche|belgaum|belgaum rural.|matche|675|1.0
belgaum|belgaum rural.|muchandi|belgaum|belgaum rural.|muchandi|679|1.0
belgaum|belgaum rural.|mutaga|belgaum|belgaum rural.|mutaga|676|1.0
belgaum|belgaum rural.|santibastwad|belgaum|belgaum rural.|santibastwad|684|1.0
belgaum|belgaum rural.|yallur|belgaum|belgaum rural.|yallur|683|1.0
belgaum|khanapur|bidi|belgaum|khanapur|bidi|686|1.0
belgaum|khanapur|gunji|belgaum|khanapur|gunji|687|1.0
belgaum|khanapur|halashi|belgaum|khanapur|halashi|698|1.0
belgaum|khanapur|idalhond|belgaum|khanapur|idalhond|688|1.0
belgaum|khanapur|jamboti|belgaum|khanapur|jamboti|689|1.0
belgaum|khanapur|kakkeri|belgaum|khanapur|kakkeri|690|1.0
belgaum|khanapur|kanakumbi|belgaum|khanapur|kanakumbi|696|1.0
belgaum|khanapur|khanapur|belgaum|khanapur|khanapur|699|1.0
belgaum|khanapur|londa|belgaum|khanapur|londa|691|1.0
belgaum|khanapur|nandgad|belgaum|khanapur|nandgad|692|1.0
belgaum|khanapur|parishwad|belgaum|khanapur|parishwad|693|1.0
belgaum|khanapur|ramgurwadi|belgaum|khanapur|ramgurwadi|695|1.0
belgaum|khanapur|shiroli|belgaum|khanapur|shiroli|697|1.0
belgaum|khanapur|tolagi|belgaum|khanapur|tolagi|694|1.0
belgaum|ramdurg|batakurki|belgaum|ramdurg|batakurki|705|1.0
belgaum|ramdurg|hosakoti|belgaum|ramdurg|hosakoti|704|1.0
belgaum|ramdurg|hulkund|belgaum|ramdurg|hulkund|702|1.0
belgaum|ramdurg|katkol|belgaum|ramdurg|katkol|701|1.0
belgaum|ramdurg|mudenur|belgaum|ramdurg|mudenur|706|1.0
belgaum|ramdurg|salahalli|belgaum|ramdurg|salahalli|703|1.0
belgaum|ramdurg|sunnal|belgaum|ramdurg|sunnal|707|1.0
belgaum|ramdurg|sureban|belgaum|ramdurg|sureban|700|1.0
belgaum|soundatti|chachadi|belgaum|soundatti|chachadi|709|1.0
belgaum|soundatti|hirekumbi|belgaum|soundatti|hirekumbi|717|1.0
belgaum|soundatti|hoolikatti|belgaum|soundatti|hoolikatti|716|1.0
belgaum|soundatti|inamhongal|belgaum|soundatti|inamhongal|715|1.0
belgaum|soundatti|karikatti|belgaum|soundatti|karikatti|708|1.0
belgaum|soundatti|munavalli|belgaum|soundatti|munavalli|710|1.0
belgaum|soundatti|murgod|belgaum|soundatti|murgod|711|1.0
